gun;cut_off_time;kabul_ili;varis_ili;gonderi_turu;id;varýs_gunu
1;17:30:00;1;40;MEKTUP;120;NULL
2;17:30:00;1;41;APG;121;NULL
2;17:30:00;1;41;KARGO;122;NULL
2;17:30:00;1;41;MEKTUP;123;NULL
1;17:30:00;1;42;APG;124;NULL
1;17:30:00;1;42;KARGO;125;NULL
1;17:30:00;1;42;MEKTUP;126;NULL
2;17:30:00;1;43;APG;127;NULL
2;17:30:00;1;43;KARGO;128;NULL
2;17:30:00;1;43;MEKTUP;129;NULL
1;17:30:00;1;44;APG;130;NULL
1;17:30:00;1;44;KARGO;131;NULL
1;17:30:00;1;44;MEKTUP;132;NULL
1;17:30:00;1;45;APG;133;NULL
2;17:30:00;1;45;KARGO;134;NULL
1;17:30:00;1;45;MEKTUP;135;NULL
1;17:30:00;1;46;APG;136;NULL
1;17:30:00;1;46;KARGO;137;NULL
1;17:30:00;1;46;MEKTUP;138;NULL
1;14:30:00;1;47;APG;139;NULL
1;14:30:00;1;47;KARGO;140;NULL
1;14:30:00;1;47;MEKTUP;141;NULL
2;17:30:00;1;48;APG;142;NULL
2;17:30:00;1;48;KARGO;143;NULL
2;17:30:00;1;48;MEKTUP;144;NULL
2;17:30:00;1;49;APG;145;NULL
2;17:30:00;1;49;KARGO;146;NULL
2;17:30:00;1;49;MEKTUP;147;NULL
1;17:30:00;1;50;APG;148;NULL
1;17:30:00;1;50;KARGO;149;NULL
1;17:30:00;1;50;MEKTUP;150;NULL
1;17:30:00;1;51;APG;151;NULL
1;17:30:00;1;51;KARGO;152;NULL
1;17:30:00;1;51;MEKTUP;153;NULL
2;17:30:00;1;52;APG;154;NULL
2;17:30:00;1;52;KARGO;155;NULL
2;17:30:00;1;52;MEKTUP;156;NULL
2;17:30:00;1;53;APG;157;NULL
2;17:30:00;1;53;KARGO;158;NULL
2;17:30:00;1;53;MEKTUP;159;NULL
1;17:30:00;1;54;APG;160;NULL
2;17:30:00;1;54;KARGO;161;NULL
1;17:30:00;1;54;MEKTUP;162;NULL
2;17:30:00;1;55;APG;163;NULL
2;17:30:00;1;55;KARGO;164;NULL
2;17:30:00;1;55;MEKTUP;165;NULL
1;14:30:00;1;56;APG;166;NULL
1;14:30:00;1;56;KARGO;167;NULL
1;14:30:00;1;56;MEKTUP;168;NULL
2;17:30:00;1;57;APG;169;NULL
2;17:30:00;1;57;KARGO;170;NULL
2;17:30:00;1;57;MEKTUP;171;NULL
2;17:30:00;1;58;APG;172;NULL
2;17:30:00;1;58;KARGO;173;NULL
2;17:30:00;1;58;MEKTUP;174;NULL
2;17:30:00;1;59;APG;175;NULL
2;17:30:00;1;59;KARGO;176;NULL
2;17:30:00;1;59;MEKTUP;177;NULL
2;17:30:00;1;60;APG;178;NULL
2;17:30:00;1;60;KARGO;179;NULL
2;17:30:00;1;60;MEKTUP;180;NULL
2;17:30:00;1;61;APG;181;NULL
2;17:30:00;1;61;KARGO;182;NULL
2;17:30:00;1;61;MEKTUP;183;NULL
2;17:30:00;1;62;APG;184;NULL
2;17:30:00;1;62;KARGO;185;NULL
2;17:30:00;1;62;MEKTUP;186;NULL
1;17:30:00;1;63;APG;187;NULL
1;17:30:00;1;63;KARGO;188;NULL
1;17:30:00;1;63;MEKTUP;189;NULL
2;17:30:00;1;64;APG;190;NULL
2;17:30:00;1;64;KARGO;191;NULL
2;17:30:00;1;64;MEKTUP;192;NULL
2;17:30:00;1;65;APG;193;NULL
2;17:30:00;1;65;KARGO;194;NULL
2;17:30:00;1;65;MEKTUP;195;NULL
1;17:30:00;1;66;APG;196;NULL
1;17:30:00;1;66;KARGO;197;NULL
1;17:30:00;1;66;MEKTUP;198;NULL
2;17:30:00;1;67;APG;199;NULL
2;17:30:00;1;67;KARGO;200;NULL
2;17:30:00;1;67;MEKTUP;201;NULL
1;17:30:00;1;68;APG;202;NULL
1;17:30:00;1;68;KARGO;203;NULL
1;17:30:00;1;68;MEKTUP;204;NULL
2;17:30:00;1;69;APG;205;NULL
2;17:30:00;1;69;KARGO;206;NULL
2;17:30:00;1;69;MEKTUP;207;NULL
1;17:30:00;1;70;APG;208;NULL
1;17:30:00;1;70;KARGO;209;NULL
1;17:30:00;1;70;MEKTUP;210;NULL
2;17:30:00;1;71;APG;211;NULL
2;17:30:00;1;71;KARGO;212;NULL
2;17:30:00;1;71;MEKTUP;213;NULL
1;14:30:00;1;72;APG;214;NULL
1;14:30:00;1;72;KARGO;215;NULL
1;14:30:00;1;72;MEKTUP;216;NULL
1;14:30:00;1;73;APG;217;NULL
1;14:30:00;1;73;KARGO;218;NULL
2;14:30:00;1;73;MEKTUP;219;NULL
2;17:30:00;1;74;APG;220;NULL
2;17:30:00;1;74;KARGO;221;NULL
2;17:30:00;1;74;MEKTUP;222;NULL
2;17:30:00;1;75;APG;223;NULL
2;17:30:00;1;75;KARGO;224;NULL
2;17:30:00;1;75;MEKTUP;225;NULL
2;17:30:00;1;76;APG;226;NULL
2;17:30:00;1;76;KARGO;227;NULL
2;17:30:00;1;76;MEKTUP;228;NULL
2;17:30:00;1;77;APG;229;NULL
2;17:30:00;1;77;KARGO;230;NULL
2;17:30:00;1;77;MEKTUP;231;NULL
2;17:30:00;1;78;APG;232;NULL
2;17:30:00;1;78;KARGO;233;NULL
2;17:30:00;1;78;MEKTUP;234;NULL
1;17:30:00;1;79;APG;235;NULL
1;17:30:00;1;79;KARGO;236;NULL
1;17:30:00;1;79;MEKTUP;237;NULL
1;17:30:00;1;80;APG;238;NULL
1;17:30:00;1;80;KARGO;239;NULL
1;17:30:00;1;80;MEKTUP;240;NULL
2;17:30:00;1;81;APG;241;NULL
2;17:30:00;1;81;KARGO;242;NULL
2;17:30:00;1;81;MEKTUP;243;NULL
1;17:30:00;2;1;APG;244;NULL
1;17:30:00;2;1;KARGO;245;NULL
1;17:30:00;2;1;MEKTUP;246;NULL
2;17:30:00;2;3;APG;247;NULL
2;17:30:00;2;3;KARGO;248;NULL
2;17:30:00;2;3;MEKTUP;249;NULL
3;17:30:00;2;4;APG;250;NULL
3;17:30:00;2;4;KARGO;251;NULL
3;17:30:00;2;4;MEKTUP;252;NULL
2;17:30:00;2;5;APG;253;NULL
2;17:30:00;2;5;KARGO;254;NULL
2;17:30:00;2;5;MEKTUP;255;NULL
2;17:30:00;2;6;APG;256;NULL
2;17:30:00;2;6;KARGO;257;NULL
2;17:30:00;2;6;MEKTUP;258;NULL
2;17:30:00;2;7;APG;259;NULL
3;17:30:00;2;7;KARGO;260;NULL
2;17:30:00;2;7;MEKTUP;261;NULL
3;17:30:00;2;8;APG;262;NULL
3;17:30:00;2;8;KARGO;263;NULL
3;17:30:00;2;8;MEKTUP;264;NULL
2;17:30:00;2;9;APG;265;NULL
2;17:30:00;2;9;KARGO;266;NULL
2;17:30:00;2;9;MEKTUP;267;NULL
2;17:30:00;2;10;APG;268;NULL
2;17:30:00;2;10;KARGO;269;NULL
2;17:30:00;2;10;MEKTUP;270;NULL
2;17:30:00;2;11;APG;271;NULL
2;17:30:00;2;11;KARGO;272;NULL
2;17:30:00;2;11;MEKTUP;273;NULL
2;17:30:00;2;12;APG;274;NULL
2;17:30:00;2;12;KARGO;275;NULL
2;17:30:00;2;12;MEKTUP;276;NULL
2;17:30:00;2;13;APG;277;NULL
2;17:30:00;2;13;KARGO;278;NULL
2;17:30:00;2;13;MEKTUP;279;NULL
2;17:30:00;2;14;APG;280;NULL
2;17:30:00;2;14;KARGO;281;NULL
2;17:30:00;2;14;MEKTUP;282;NULL
2;17:30:00;2;15;APG;283;NULL
2;17:30:00;2;15;KARGO;284;NULL
3;17:30:00;2;15;MEKTUP;285;NULL
2;17:30:00;2;16;APG;286;NULL
2;17:30:00;2;16;KARGO;287;NULL
2;17:30:00;2;16;MEKTUP;288;NULL
2;17:30:00;2;17;APG;289;NULL
2;17:30:00;2;17;KARGO;290;NULL
2;17:30:00;2;17;MEKTUP;291;NULL
3;17:30:00;2;18;APG;292;NULL
3;17:30:00;2;18;KARGO;293;NULL
3;17:30:00;2;18;MEKTUP;294;NULL
3;17:30:00;2;19;APG;295;NULL
3;17:30:00;2;19;KARGO;296;NULL
3;17:30:00;2;19;MEKTUP;297;NULL
3;17:30:00;2;20;APG;298;NULL
2;17:30:00;2;20;KARGO;299;NULL
3;17:30:00;2;20;MEKTUP;300;NULL
2;17:30:00;2;21;APG;301;NULL
2;17:30:00;2;21;KARGO;302;NULL
2;17:30:00;2;21;MEKTUP;303;NULL
2;17:30:00;2;22;APG;304;NULL
2;17:30:00;2;22;KARGO;305;NULL
2;17:30:00;2;22;MEKTUP;306;NULL
2;17:30:00;2;23;APG;307;NULL
2;17:30:00;2;23;KARGO;308;NULL
2;17:30:00;2;23;MEKTUP;309;NULL
